Author Name,Sell Amount
theme_ocean,"1,189"
bangladevs,124
tempload,251
PranonTheme,"7,869"
Theme-4Web,298
bdinfosys,"2,578"
CodePassenger,"2,488"
SmartDataSoft,"18,856"
Codetic,"2,542"
ris10,96
TresCoder,202
devutpol,44
Bagdoom,498
kazierfan,885
Kaze-shop,455
template_mr,185
TheMazine,"1,094"
codeboxr,376
themehappy,126
Jigsawlab,214
ThemeInnovation,394
Theme_Choices,91
Webtend,93
etaslim,72
codexcoder,"4,779"
symbl_workshop,561
theweblab,"2,084"
bdthemes,"8,083"
crazycafe,"1,444"
themio,"2,086"
themeum,"14,251"
TrendyTheme,"3,768"
ThemeXpert,"2,053"
ThemeBucket,"10,371"
webRedox,"7,381"
template_path,"20,287"
